filename,image_file,type,voxel_count,original_voxel_count,removed_ratio
BraTS-MEN-RT-0482-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0482-1_t1c.nii.gz,GTV,2959,19508,0.8483186385072791
BraTS-MEN-RT-0051-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0051-1_t1c.nii.gz,BET,1403232,679226,-1.0659279827332875
BraTS-MEN-RT-0588-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0588-1_t1c.nii.gz,BET,1561630,4336602,0.6398954757665103
BraTS-MEN-RT-0550-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0550-1_t1c.nii.gz,BET,1378630,5539961,0.7511480676488517
BraTS-MEN-RT-0303-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0303-1_t1c.nii.gz,BET,1437838,1885835,0.2375589592938937
BraTS-MEN-RT-0434-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0434-1_t1c.nii.gz,GTV,2550,7256,0.648566703417861
BraTS-MEN-RT-0089-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0089-1_t1c.nii.gz,BET,1122450,3114697,0.639627867494013
BraTS-MEN-RT-0209-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0209-1_t1c.nii.gz,GTV,139392,334201,0.5829096860871152
BraTS-MEN-RT-0453-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0453-1_t1c.nii.gz,BET,1470622,1014709,-0.44930418474656286
BraTS-MEN-RT-0200-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0200-1_t1c.nii.gz,BET,1274817,822872,-0.549228798646691
BraTS-MEN-RT-0537-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0537-1_t1c.nii.gz,GTV,53005,96708,0.45190677089796083
BraTS-MEN-RT-0080-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0080-1_t1c.nii.gz,GTV,14806,19638,0.24605356960993996
BraTS-MEN-RT-0559-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0559-1_t1c.nii.gz,GTV,11631,21082,0.44829712550991363
BraTS-MEN-RT-0058-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0058-1_t1c.nii.gz,GTV,6262,7224,0.13316722037652273
BraTS-MEN-RT-0144-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0144-1_t1c.nii.gz,BET,1167966,565271,-1.0662054129789076
BraTS-MEN-RT-0372-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0372-1_t1c.nii.gz,GTV,47280,122852,0.6151466805587211
BraTS-MEN-RT-0445-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0445-1_t1c.nii.gz,BET,1558506,5922707,0.7368591760490599
BraTS-MEN-RT-0216-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0216-1_t1c.nii.gz,BET,1295110,835107,-0.5508312108508251
BraTS-MEN-RT-0271-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0271-1_t1c.nii.gz,GTV,69367,79210,0.12426461305390735
BraTS-MEN-RT-0422-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0422-1_t1c.nii.gz,GTV,3777,2689,-0.4046113796950539
BraTS-MEN-RT-0546-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0546-1_t1c.nii.gz,BET,1263041,1438967,0.12225853685317312
BraTS-MEN-RT-0315-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0315-1_t1c.nii.gz,BET,1790193,14202907,0.8739558739629851
BraTS-MEN-RT-0029-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0029-1_t1c.nii.gz,BET,1343584,1529272,0.12142248076208806
BraTS-MEN-RT-0614-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0614-1_t1c.nii.gz,BET,1197900,7970693,0.8497119384726021
BraTS-MEN-RT-0005-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0005-1_t1c.nii.gz,BET,1157948,1420104,0.18460338116081643
BraTS-MEN-RT-0161-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0161-1_t1c.nii.gz,GTV,7498,19998,0.625062506250625
BraTS-MEN-RT-0285-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0285-1_t1c.nii.gz,GTV,610,998,0.3887775551102205
BraTS-MEN-RT-0339-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0339-1_t1c.nii.gz,BET,1559730,10268190,0.8481007850458552
BraTS-MEN-RT-0460-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0460-1_t1c.nii.gz,GTV,13469,15504,0.13125644994840047
BraTS-MEN-RT-0469-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0469-1_t1c.nii.gz,BET,1434473,12045016,0.8809073396000471
BraTS-MEN-RT-0330-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0330-1_t1c.nii.gz,GTV,9862,11294,0.12679298742695233
BraTS-MEN-RT-0168-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0168-1_t1c.nii.gz,BET,1378640,9178105,0.84979034343146
BraTS-MEN-RT-0106-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0106-1_t1c.nii.gz,BET,1519234,3928810,0.6133093735762228
BraTS-MEN-RT-0062-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0062-1_t1c.nii.gz,GTV,21059,23841,0.11668973616878486
BraTS-MEN-RT-0074-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0074-1_t1c.nii.gz,GTV,2851,18537,0.8461994929060798
BraTS-MEN-RT-0390-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0390-1_t1c.nii.gz,GTV,6789,4360,-0.5571100917431193
BraTS-MEN-RT-0110-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0110-1_t1c.nii.gz,BET,1503439,13543774,0.8889940868771141
BraTS-MEN-RT-0411-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0411-1_t1c.nii.gz,BET,1278827,886185,-0.4430700135976122
BraTS-MEN-RT-0326-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0326-1_t1c.nii.gz,GTV,44039,50151,0.12187194672090285
BraTS-MEN-RT-0225-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0225-1_t1c.nii.gz,GTV,21590,10457,-1.0646456918810365
BraTS-MEN-RT-0418-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0418-1_t1c.nii.gz,GTV,7275,7275,0.0
BraTS-MEN-RT-0177-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0177-1_t1c.nii.gz,GTV,50324,32996,-0.5251545641895987
BraTS-MEN-RT-0119-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0119-1_t1c.nii.gz,GTV,92203,59774,-0.5425268511392913
BraTS-MEN-RT-0596-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0596-1_t1c.nii.gz,BET,1157115,1157115,0.0
BraTS-MEN-RT-0520-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0520-1_t1c.nii.gz,BET,1164933,2125459,0.45191462173582275
BraTS-MEN-RT-0097-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0097-1_t1c.nii.gz,BET,1456545,4045800,0.6399859113154382
BraTS-MEN-RT-0373-1_t1c_bet_mask.nii.gz,BraTS-MEN-RT-0373-1_t1c.nii.gz,BET,1411585,911378,-0.5488469109414535
BraTS-MEN-RT-0217-1_t1c_gtv_mask.nii.gz,BraTS-MEN-RT-0217-1_t1c.nii.gz,GTV,5894,5899,0.0008476012883539275
