split,case_id,img_shape,mask_shape,mask_voxels,img_voxels
train,BraTS-MEN-RT-0127-1_slice_068,"(256, 256)","(256, 256)",336,65536
train,BraTS-MEN-RT-0356-1_slice_082,"(256, 256)","(256, 256)",1708,65536
train,BraTS-MEN-RT-0247-1_slice_147,"(256, 256)","(256, 256)",274,65536
train,BraTS-MEN-RT-0103-1_slice_121,"(256, 256)","(256, 256)",162,65536
train,BraTS-MEN-RT-0557-1_slice_089,"(256, 256)","(256, 256)",58,65536
train,BraTS-MEN-RT-0113-1_slice_122,"(256, 256)","(256, 256)",1162,65536
train,BraTS-MEN-RT-0107-1_slice_116,"(256, 256)","(256, 256)",822,65536
train,BraTS-MEN-RT-0122-1_slice_118,"(256, 256)","(256, 256)",46,65536
train,BraTS-MEN-RT-0587-1_slice_168,"(256, 256)","(256, 256)",197,65536
train,BraTS-MEN-RT-0132-1_slice_063,"(256, 256)","(256, 256)",74,65536
train,BraTS-MEN-RT-0107-1_slice_106,"(256, 256)","(256, 256)",1745,65536
train,BraTS-MEN-RT-0113-1_slice_132,"(256, 256)","(256, 256)",799,65536
train,BraTS-MEN-RT-0387-1_slice_034,"(256, 256)","(256, 256)",365,65536
train,BraTS-MEN-RT-0557-1_slice_099,"(256, 256)","(256, 256)",37,65536
train,BraTS-MEN-RT-0112-1_slice_065,"(256, 256)","(256, 256)",604,65536
train,BraTS-MEN-RT-0356-1_slice_092,"(256, 256)","(256, 256)",2770,65536
train,BraTS-MEN-RT-0173-1_slice_070,"(256, 256)","(256, 256)",73,65536
train,BraTS-MEN-RT-0143-1_slice_075,"(256, 256)","(256, 256)",54,65536
train,BraTS-MEN-RT-0166-1_slice_113,"(256, 256)","(256, 256)",522,65536
train,BraTS-MEN-RT-0317-1_slice_081,"(256, 256)","(256, 256)",248,65536
train,BraTS-MEN-RT-0176-1_slice_068,"(256, 256)","(256, 256)",192,65536
train,BraTS-MEN-RT-0503-1_slice_091,"(256, 256)","(256, 256)",1554,65536
train,BraTS-MEN-RT-0082-1_slice_139,"(256, 256)","(256, 256)",266,65536
train,BraTS-MEN-RT-0317-1_slice_091,"(256, 256)","(256, 256)",644,65536
train,BraTS-MEN-RT-0203-1_slice_034,"(256, 256)","(256, 256)",590,65536
train,BraTS-MEN-RT-0173-1_slice_060,"(256, 256)","(256, 256)",518,65536
train,BraTS-MEN-RT-0082-1_slice_129,"(256, 256)","(256, 256)",218,65536
train,BraTS-MEN-RT-0176-1_slice_078,"(256, 256)","(256, 256)",285,65536
train,BraTS-MEN-RT-0503-1_slice_081,"(256, 256)","(256, 256)",1881,65536
train,BraTS-MEN-RT-0488-1_slice_077,"(256, 256)","(256, 256)",240,65536
train,BraTS-MEN-RT-0070-1_slice_106,"(256, 256)","(256, 256)",794,65536
train,BraTS-MEN-RT-0498-1_slice_074,"(256, 256)","(256, 256)",65,65536
train,BraTS-MEN-RT-0369-1_slice_119,"(256, 256)","(256, 256)",92,65536
train,BraTS-MEN-RT-0044-1_slice_134,"(256, 256)","(256, 256)",1663,65536
train,BraTS-MEN-RT-0055-1_slice_118,"(256, 256)","(256, 256)",410,65536
train,BraTS-MEN-RT-0185-1_slice_078,"(256, 256)","(256, 256)",1000,65536
train,BraTS-MEN-RT-0044-1_slice_124,"(256, 256)","(256, 256)",2355,65536
train,BraTS-MEN-RT-0489-1_slice_130,"(256, 256)","(256, 256)",38,65536
train,BraTS-MEN-RT-0330-1_slice_147,"(256, 256)","(256, 256)",237,65536
train,BraTS-MEN-RT-0488-1_slice_067,"(256, 256)","(256, 256)",57,65536
train,BraTS-MEN-RT-0298-1_slice_138,"(256, 256)","(256, 256)",290,65536
train,BraTS-MEN-RT-0549-1_slice_053,"(256, 256)","(256, 256)",213,65536
train,BraTS-MEN-RT-0310-1_slice_141,"(256, 256)","(256, 256)",100,65536
train,BraTS-MEN-RT-0070-1_slice_116,"(256, 256)","(256, 256)",988,65536
train,BraTS-MEN-RT-0071-1_slice_139,"(256, 256)","(256, 256)",144,65536
train,BraTS-MEN-RT-0185-1_slice_068,"(256, 256)","(256, 256)",871,65536
train,BraTS-MEN-RT-0074-1_slice_059,"(256, 256)","(256, 256)",123,65536
train,BraTS-MEN-RT-0055-1_slice_108,"(256, 256)","(256, 256)",136,65536
train,BraTS-MEN-RT-0620-1_slice_075,"(256, 256)","(256, 256)",126,65536
train,BraTS-MEN-RT-0319-1_slice_130,"(256, 256)","(256, 256)",1417,65536
train,BraTS-MEN-RT-0344-1_slice_149,"(256, 256)","(256, 256)",392,65536
train,BraTS-MEN-RT-0611-1_slice_127,"(256, 256)","(256, 256)",823,65536
train,BraTS-MEN-RT-0089-1_slice_090,"(256, 256)","(256, 256)",183,65536
train,BraTS-MEN-RT-0555-1_slice_141,"(256, 256)","(256, 256)",337,65536
train,BraTS-MEN-RT-0318-1_slice_067,"(256, 256)","(256, 256)",71,65536
train,BraTS-MEN-RT-0625-1_slice_115,"(256, 256)","(256, 256)",284,65536
train,BraTS-MEN-RT-0454-1_slice_087,"(256, 256)","(256, 256)",188,65536
train,BraTS-MEN-RT-0189-1_slice_179,"(256, 256)","(256, 256)",340,65536
train,BraTS-MEN-RT-0615-1_slice_068,"(256, 256)","(256, 256)",210,65536
train,BraTS-MEN-RT-0030-1_slice_052,"(256, 256)","(256, 256)",161,65536
train,BraTS-MEN-RT-0004-1_slice_060,"(256, 256)","(256, 256)",392,65536
train,BraTS-MEN-RT-0250-1_slice_094,"(256, 256)","(256, 256)",165,65536
train,BraTS-MEN-RT-0339-1_slice_126,"(256, 256)","(256, 256)",30,65536
train,BraTS-MEN-RT-0454-1_slice_097,"(256, 256)","(256, 256)",366,65536
train,BraTS-MEN-RT-0591-1_slice_094,"(256, 256)","(256, 256)",382,65536
train,BraTS-MEN-RT-0625-1_slice_105,"(256, 256)","(256, 256)",697,65536
train,BraTS-MEN-RT-0338-1_slice_071,"(256, 256)","(256, 256)",149,65536
train,BraTS-MEN-RT-0319-1_slice_120,"(256, 256)","(256, 256)",1318,65536
train,BraTS-MEN-RT-0611-1_slice_137,"(256, 256)","(256, 256)",829,65536
train,BraTS-MEN-RT-0620-1_slice_065,"(256, 256)","(256, 256)",308,65536
train,BraTS-MEN-RT-0004-1_slice_070,"(256, 256)","(256, 256)",141,65536
train,BraTS-MEN-RT-0189-1_slice_169,"(256, 256)","(256, 256)",58,65536
train,BraTS-MEN-RT-0030-1_slice_042,"(256, 256)","(256, 256)",38,65536
train,BraTS-MEN-RT-0485-1_slice_149,"(256, 256)","(256, 256)",37,65536
train,BraTS-MEN-RT-0534-1_slice_085,"(256, 256)","(256, 256)",1083,65536
train,BraTS-MEN-RT-0268-1_slice_066,"(256, 256)","(256, 256)",106,65536
train,BraTS-MEN-RT-0425-1_slice_140,"(256, 256)","(256, 256)",196,65536
train,BraTS-MEN-RT-0249-1_slice_137,"(256, 256)","(256, 256)",1175,65536
train,BraTS-MEN-RT-0537-1_slice_204,"(256, 256)","(256, 256)",1230,65536
train,BraTS-MEN-RT-0174-1_slice_119,"(256, 256)","(256, 256)",69,65536
train,BraTS-MEN-RT-0258-1_slice_063,"(256, 256)","(256, 256)",529,65536
train,BraTS-MEN-RT-0171-1_slice_079,"(256, 256)","(256, 256)",630,65536
train,BraTS-MEN-RT-0221-1_slice_153,"(256, 256)","(256, 256)",14,65536
train,BraTS-MEN-RT-0449-1_slice_113,"(256, 256)","(256, 256)",588,65536
train,BraTS-MEN-RT-0084-1_slice_107,"(256, 256)","(256, 256)",698,65536
train,BraTS-MEN-RT-0080-1_slice_130,"(256, 256)","(256, 256)",93,65536
train,BraTS-MEN-RT-0469-1_slice_115,"(256, 256)","(256, 256)",311,65536
train,BraTS-MEN-RT-0420-1_slice_158,"(256, 256)","(256, 256)",251,65536
train,BraTS-MEN-RT-0589-1_slice_070,"(256, 256)","(256, 256)",329,65536
train,BraTS-MEN-RT-0458-1_slice_047,"(256, 256)","(256, 256)",224,65536
train,BraTS-MEN-RT-0081-1_slice_067,"(256, 256)","(256, 256)",2638,65536
train,BraTS-MEN-RT-0171-1_slice_101,"(256, 256)","(256, 256)",281,65536
train,BraTS-MEN-RT-0300-1_slice_093,"(256, 256)","(256, 256)",1060,65536
train,BraTS-MEN-RT-0479-1_slice_116,"(256, 256)","(256, 256)",149,65536
train,BraTS-MEN-RT-0608-1_slice_084,"(256, 256)","(256, 256)",16,65536
train,BraTS-MEN-RT-0085-1_slice_050,"(256, 256)","(256, 256)",1840,65536
train,BraTS-MEN-RT-0171-1_slice_069,"(256, 256)","(256, 256)",487,65536
train,BraTS-MEN-RT-0401-1_slice_161,"(256, 256)","(256, 256)",295,65536
train,BraTS-MEN-RT-0268-1_slice_076,"(256, 256)","(256, 256)",165,65536
train,BraTS-MEN-RT-0425-1_slice_150,"(256, 256)","(256, 256)",432,65536
train,BraTS-MEN-RT-0534-1_slice_095,"(256, 256)","(256, 256)",742,65536
train,BraTS-MEN-RT-0155-1_slice_058,"(256, 256)","(256, 256)",447,65536
train,BraTS-MEN-RT-0388-1_slice_113,"(256, 256)","(256, 256)",77,65536
train,BraTS-MEN-RT-0537-1_slice_214,"(256, 256)","(256, 256)",1631,65536
train,BraTS-MEN-RT-0249-1_slice_127,"(256, 256)","(256, 256)",841,65536
train,BraTS-MEN-RT-0589-1_slice_060,"(256, 256)","(256, 256)",42,65536
train,BraTS-MEN-RT-0458-1_slice_057,"(256, 256)","(256, 256)",188,65536
train,BraTS-MEN-RT-0081-1_slice_077,"(256, 256)","(256, 256)",2531,65536
train,BraTS-MEN-RT-0420-1_slice_148,"(256, 256)","(256, 256)",813,65536
train,BraTS-MEN-RT-0085-1_slice_040,"(256, 256)","(256, 256)",1365,65536
train,BraTS-MEN-RT-0300-1_slice_083,"(256, 256)","(256, 256)",295,65536
train,BraTS-MEN-RT-0608-1_slice_094,"(256, 256)","(256, 256)",22,65536
train,BraTS-MEN-RT-0449-1_slice_103,"(256, 256)","(256, 256)",542,65536
train,BraTS-MEN-RT-0084-1_slice_117,"(256, 256)","(256, 256)",1373,65536
train,BraTS-MEN-RT-0151-1_slice_117,"(256, 256)","(256, 256)",32,65536
train,BraTS-MEN-RT-0080-1_slice_120,"(256, 256)","(256, 256)",91,65536
train,BraTS-MEN-RT-0395-1_slice_156,"(256, 256)","(256, 256)",64,65536
train,BraTS-MEN-RT-0409-1_slice_047,"(256, 256)","(256, 256)",1130,65536
train,BraTS-MEN-RT-0438-1_slice_115,"(256, 256)","(256, 256)",1065,65536
train,BraTS-MEN-RT-0284-1_slice_093,"(256, 256)","(256, 256)",3204,65536
train,BraTS-MEN-RT-0120-1_slice_101,"(256, 256)","(256, 256)",1025,65536
train,BraTS-MEN-RT-0545-1_slice_083,"(256, 256)","(256, 256)",1072,65536
train,BraTS-MEN-RT-0188-1_slice_097,"(256, 256)","(256, 256)",3051,65536
train,BraTS-MEN-RT-0490-1_slice_083,"(256, 256)","(256, 256)",936,65536
train,BraTS-MEN-RT-0209-1_slice_063,"(256, 256)","(256, 256)",151,65536
train,BraTS-MEN-RT-0089-1_slice_151,"(256, 256)","(256, 256)",350,65536
train,BraTS-MEN-RT-0565-1_slice_085,"(256, 256)","(256, 256)",137,65536
train,BraTS-MEN-RT-0125-1_slice_119,"(256, 256)","(256, 256)",2177,65536
train,BraTS-MEN-RT-0229-1_slice_065,"(256, 256)","(256, 256)",624,65536
train,BraTS-MEN-RT-0284-1_slice_083,"(256, 256)","(256, 256)",1700,65536
train,BraTS-MEN-RT-0395-1_slice_146,"(256, 256)","(256, 256)",52,65536
train,BraTS-MEN-RT-0409-1_slice_057,"(256, 256)","(256, 256)",2013,65536
train,BraTS-MEN-RT-0134-1_slice_125,"(256, 256)","(256, 256)",54,65536
train,BraTS-MEN-RT-0294-1_slice_080,"(256, 256)","(256, 256)",471,65536
train,BraTS-MEN-RT-0120-1_slice_111,"(256, 256)","(256, 256)",1265,65536
train,BraTS-MEN-RT-0125-1_slice_109,"(256, 256)","(256, 256)",278,65536
train,BraTS-MEN-RT-0179-1_slice_027,"(256, 256)","(256, 256)",32,65536
train,BraTS-MEN-RT-0545-1_slice_093,"(256, 256)","(256, 256)",497,65536
train,BraTS-MEN-RT-0188-1_slice_087,"(256, 256)","(256, 256)",2962,65536
train,BraTS-MEN-RT-0209-1_slice_073,"(256, 256)","(256, 256)",1665,65536
train,BraTS-MEN-RT-0158-1_slice_176,"(256, 256)","(256, 256)",261,65536
train,BraTS-MEN-RT-0490-1_slice_093,"(256, 256)","(256, 256)",1025,65536
train,BraTS-MEN-RT-0002-1_slice_126,"(256, 256)","(256, 256)",97,65536
train,BraTS-MEN-RT-0016-1_slice_112,"(256, 256)","(256, 256)",279,65536
train,BraTS-MEN-RT-0356-1_slice_143,"(256, 256)","(256, 256)",1028,65536
train,BraTS-MEN-RT-0363-1_slice_026,"(256, 256)","(256, 256)",334,65536
train,BraTS-MEN-RT-0623-1_slice_053,"(256, 256)","(256, 256)",198,65536
train,BraTS-MEN-RT-0617-1_slice_061,"(256, 256)","(256, 256)",627,65536
train,BraTS-MEN-RT-0546-1_slice_164,"(256, 256)","(256, 256)",214,65536
train,BraTS-MEN-RT-0443-1_slice_095,"(256, 256)","(256, 256)",16,65536
train,BraTS-MEN-RT-0596-1_slice_095,"(256, 256)","(256, 256)",455,65536
train,BraTS-MEN-RT-0356-1_slice_153,"(256, 256)","(256, 256)",222,65536
train,BraTS-MEN-RT-0392-1_slice_096,"(256, 256)","(256, 256)",495,65536
train,BraTS-MEN-RT-0363-1_slice_036,"(256, 256)","(256, 256)",1064,65536
train,BraTS-MEN-RT-0016-1_slice_102,"(256, 256)","(256, 256)",77,65536
train,BraTS-MEN-RT-0002-1_slice_136,"(256, 256)","(256, 256)",467,65536
train,BraTS-MEN-RT-0286-1_slice_033,"(256, 256)","(256, 256)",351,65536
train,BraTS-MEN-RT-0037-1_slice_053,"(256, 256)","(256, 256)",1210,65536
train,BraTS-MEN-RT-0617-1_slice_071,"(256, 256)","(256, 256)",744,65536
