split,case_id,img_shape,mask_shape,mask_voxels,img_voxels,img_min,img_max,img_mean,img_std,img_unique,mask_min,mask_max,mask_mean,mask_std,mask_unique
train,BraTS-MEN-RT-0127-1_slice_068,"(256, 256)","(256, 256)",336,65536,-2.7795167883826135,6.3779770259027115,-2.2085680899654943,1.1759407385579561,13841,0.0,1.0,0.005126953125,0.07141895740385779,2
train,BraTS-MEN-RT-0356-1_slice_082,"(256, 256)","(256, 256)",1708,65536,-3.1534251319905793,4.280124881802873,-2.3049514094016437,1.4595816569504962,182,0.0,1.0,0.02606201171875,0.15931975164404988,2
train,BraTS-MEN-RT-0247-1_slice_147,"(256, 256)","(256, 256)",274,65536,-2.887926674600582,8.068677065279644,-2.6347344402313055,0.8890243087373841,323,0.0,1.0,0.004180908203125,0.0645246325810697,2
train,BraTS-MEN-RT-0103-1_slice_121,"(256, 256)","(256, 256)",162,65536,-2.8967517733275523,7.907655274690364,-2.1516846354800223,1.298854255512472,198,0.0,1.0,0.002471923828125,0.04965695742504717,2
train,BraTS-MEN-RT-0557-1_slice_089,"(256, 256)","(256, 256)",58,65536,-3.492278618301514,9.109286766436064,-2.5675830399237674,1.61875839641397,106,0.0,1.0,0.000885009765625,0.02973594665282658,2
train,BraTS-MEN-RT-0113-1_slice_122,"(256, 256)","(256, 256)",1162,65536,-3.0246407060419442,6.54009170837369,-2.5177277167230443,1.2976974728715847,264,0.0,1.0,0.017730712890625,0.13197096162040808,2
train,BraTS-MEN-RT-0107-1_slice_116,"(256, 256)","(256, 256)",822,65536,-3.240210709580423,8.447785554294764,-2.5237801684180265,1.3875259958475257,167,0.0,1.0,0.012542724609375,0.11128973298893469,2
train,BraTS-MEN-RT-0122-1_slice_118,"(256, 256)","(256, 256)",46,65536,-2.7577732662594996,4.65449992407174,-2.1925425938257943,1.1972602003495822,13224,0.0,1.0,0.000701904296875,0.026484176921947725,2
train,BraTS-MEN-RT-0587-1_slice_168,"(256, 256)","(256, 256)",197,65536,-3.7261788032199368,6.277031079615206,-3.601644070744008,0.7752094631279939,874,0.0,1.0,0.0030059814453125,0.054744365197369284,2
train,BraTS-MEN-RT-0132-1_slice_063,"(256, 256)","(256, 256)",74,65536,-2.5936984691815947,6.020508418636249,-2.1579168680171685,1.0368471704862474,275,0.0,1.0,0.001129150390625,0.03358385638994354,2
train,BraTS-MEN-RT-0107-1_slice_106,"(256, 256)","(256, 256)",1745,65536,-3.240210709580423,7.636119147081209,-2.4299809050472874,1.44931616286457,170,0.0,1.0,0.0266265869140625,0.16098947724422977,2
train,BraTS-MEN-RT-0113-1_slice_132,"(256, 256)","(256, 256)",799,65536,-3.0246407060419442,7.4210539044382875,-2.7888249563572076,0.9469628529020884,264,0.0,1.0,0.0121917724609375,0.10974120987668318,2
train,BraTS-MEN-RT-0387-1_slice_034,"(256, 256)","(256, 256)",365,65536,-1.7505315075103645,2.182618279903488,-1.6934620710555857,0.24648060791852827,3809,0.0,1.0,0.0055694580078125,0.07442069030391826,2
train,BraTS-MEN-RT-0557-1_slice_099,"(256, 256)","(256, 256)",37,65536,-3.492278618301514,7.909137682175343,-2.575363918701428,1.6102305794847047,100,0.0,1.0,0.0005645751953125,0.02375408281035784,2
train,BraTS-MEN-RT-0112-1_slice_065,"(256, 256)","(256, 256)",604,65536,-2.6056831821100626,10.464001192038781,-1.8792126683212191,1.438255802424947,14557,0.0,1.0,0.00921630859375,0.09555819300120094,2
train,BraTS-MEN-RT-0356-1_slice_092,"(256, 256)","(256, 256)",2770,65536,-3.1534251319905793,8.177715970116196,-2.2034491822967013,1.5560264537243649,203,0.0,1.0,0.042266845703125,0.20119731473713368,2
train,BraTS-MEN-RT-0173-1_slice_070,"(256, 256)","(256, 256)",73,65536,-2.6447637429944524,7.408676889631675,-1.9854225888119004,1.355073600073451,14443,0.0,1.0,0.0011138916015625,0.03335642137673747,2
train,BraTS-MEN-RT-0143-1_slice_075,"(256, 256)","(256, 256)",54,65536,-2.5402883592467482,9.475683102855562,-1.9680429431446549,1.1349127602223803,13794,0.0,1.0,0.000823974609375,0.028693129407893196,2
train,BraTS-MEN-RT-0166-1_slice_113,"(256, 256)","(256, 256)",522,65536,-3.422189028479888,9.46060232789333,-2.5703935607665223,1.6241343829588686,843,0.0,1.0,0.007965087890625,0.08889119903297299,2
train,BraTS-MEN-RT-0317-1_slice_081,"(256, 256)","(256, 256)",248,65536,-2.611079530494349,8.312944344986507,-1.937020799661122,1.2393265730708523,16890,0.0,1.0,0.0037841796875,0.061399182987990256,2
train,BraTS-MEN-RT-0176-1_slice_068,"(256, 256)","(256, 256)",192,65536,-3.0020719038258328,11.890566347036234,-2.3204971482316905,1.3161090022705402,15227,0.0,1.0,0.0029296875,0.05404724258602231,2
train,BraTS-MEN-RT-0503-1_slice_091,"(256, 256)","(256, 256)",1554,65536,-2.350217662588037,7.000472066307554,-1.701550526434466,1.1879398323995582,274,0.0,1.0,0.023712158203125,0.15215088483631953,2
train,BraTS-MEN-RT-0082-1_slice_139,"(256, 256)","(256, 256)",266,65536,-2.8691215061561857,6.634516988973208,-2.258641719699346,1.2071922912836703,725,0.0,1.0,0.004058837890625,0.06357958576148973,2
train,BraTS-MEN-RT-0317-1_slice_091,"(256, 256)","(256, 256)",644,65536,-2.611079530494349,8.150223224102772,-1.872250586708622,1.3191905796580843,18076,0.0,1.0,0.00982666015625,0.0986412535728514,2
train,BraTS-MEN-RT-0203-1_slice_034,"(256, 256)","(256, 256)",590,65536,-2.8056970857912478,8.051416330844884,-2.493560271028892,0.9329905475402906,6595,0.0,1.0,0.009002685546875,0.09445441863575832,2
train,BraTS-MEN-RT-0173-1_slice_060,"(256, 256)","(256, 256)",518,65536,-2.6447637429944524,8.842733685969337,-2.164152232413528,1.2450686379607074,9880,0.0,1.0,0.007904052734375,0.08855268874939495,2
train,BraTS-MEN-RT-0082-1_slice_129,"(256, 256)","(256, 256)",218,65536,-2.8691215061561857,7.054961763799467,-2.2346425381478463,1.280891559154306,852,0.0,1.0,0.003326416015625,0.05757908450223912,2
train,BraTS-MEN-RT-0176-1_slice_078,"(256, 256)","(256, 256)",285,65536,-3.0020719038258328,10.2528923582827,-2.2652073849541705,1.3579909660884673,16085,0.0,1.0,0.0043487548828125,0.06580154415955385,2
train,BraTS-MEN-RT-0503-1_slice_081,"(256, 256)","(256, 256)",1881,65536,-2.350217662588037,7.7570003615256455,-1.7062879692291992,1.268274576824697,304,0.0,1.0,0.0287017822265625,0.1669670324452749,2
train,BraTS-MEN-RT-0488-1_slice_077,"(256, 256)","(256, 256)",240,65536,-2.7483389204323063,3.9828880873332384,-2.03494571971394,1.3642039288617929,15420,0.0,1.0,0.003662109375,0.06040445620917001,2
train,BraTS-MEN-RT-0070-1_slice_106,"(256, 256)","(256, 256)",794,65536,-3.5165582928113492,6.702421141367828,-2.6128845399286833,1.6122372914637986,2050,0.0,1.0,0.012115478515625,0.10940152510802777,2
