centroid_lobe,thr,count,mean,std
Cingulate,0.3,3,0.1888218058413524,0.20011845388244645
Cingulate,0.5,3,0.19527895444307566,0.2081052719732942
Cingulate,0.8,3,0.19638499275553087,0.21267741298076012
Frontal,0.3,13,0.12065662097797787,0.18310259511153726
Frontal,0.5,13,0.12539841597678023,0.1914472958573775
Frontal,0.8,13,0.12801261842624512,0.19755009369049156
Occipital,0.3,1,0.00050913719429039,
Occipital,0.5,1,0.00018494116559169613,
Occipital,0.8,1,0.0,
Other,0.3,28,0.059594882925585166,0.08617793138050597
Other,0.5,28,0.05970175951191721,0.08710321872385451
Other,0.8,28,0.05664438166435653,0.08605043093141813
Parietal,0.3,2,0.02253286747289746,0.030536826321162083
Parietal,0.5,2,0.022256931076662167,0.03054859926861498
Parietal,0.8,2,0.019885248217254858,0.02702950910866228
Temporal,0.3,3,0.02609892487053728,0.017470832633973355
Temporal,0.5,3,0.024725845919151463,0.015833297039348927
Temporal,0.8,3,0.02276442574222373,0.014855165366346016
