epoch,train_loss,val_loss,dice,thresh_0.3,thresh_0.5,thresh_0.7
1,0.493,0.3538,0.6852,0.6878,0.6852,0.6811
2,0.1801,0.3837,0.647,0.6563,0.647,0.6349
3,0.161,0.3231,0.7027,0.7078,0.7027,0.6955
4,0.1434,0.2915,0.7346,0.7366,0.7346,0.7316
5,0.1366,0.3075,0.7177,0.7229,0.7177,0.7111
6,0.1299,0.2937,0.7302,0.7362,0.7302,0.7234
7,0.1256,0.2806,0.743,0.7486,0.743,0.7377
8,0.1217,0.2859,0.7399,0.7419,0.7399,0.7371
9,0.1144,0.2903,0.7341,0.7362,0.7341,0.7308
10,0.1118,0.308,0.7189,0.724,0.7189,0.7117
11,0.1069,0.2776,0.7479,0.7523,0.7479,0.7419
12,0.1082,0.2759,0.7477,0.7521,0.7477,0.7416
13,0.0994,0.2707,0.7515,0.7582,0.7515,0.7429
14,0.0955,0.2804,0.7444,0.7492,0.7444,0.7378
15,0.0944,0.2747,0.7507,0.7549,0.7507,0.7454
16,0.0885,0.2604,0.7643,0.7692,0.7643,0.7598
17,0.0926,0.276,0.7466,0.7498,0.7466,0.7425
18,0.0825,0.251,0.7737,0.7757,0.7737,0.7702
19,0.0823,0.2557,0.7705,0.7732,0.7705,0.7663
20,0.0772,0.2565,0.7684,0.7712,0.7684,0.7646
21,0.0755,0.2613,0.764,0.7681,0.764,0.7595
22,0.0733,0.2883,0.7391,0.7433,0.7391,0.734
23,0.0733,0.2551,0.7714,0.7753,0.7714,0.7662
24,0.0677,0.2526,0.7734,0.7767,0.7734,0.7692
25,0.0659,0.2596,0.7688,0.7727,0.7688,0.7643
26,0.0643,0.2547,0.7713,0.7764,0.7713,0.7652
27,0.062,0.2621,0.7679,0.7727,0.7679,0.7624
28,0.0598,0.2541,0.7731,0.7769,0.7731,0.7688
29,0.0591,0.2747,0.757,0.761,0.757,0.7517
30,0.0558,0.2679,0.7631,0.7654,0.7631,0.7598

31,0.0558,0.2545,0.7747,0.7772,0.7747,0.7712

32,0.0529,0.2655,0.7648,0.7672,0.7648,0.7613
33,0.0517,0.2593,0.7715,0.7746,0.7715,0.7677
34,0.0504,0.2779,0.7551,0.7593,0.7551,0.7501
35,0.0494,0.276,0.7592,0.7637,0.7592,0.7542
36,0.0488,0.2712,0.7643,0.7692,0.7643,0.7591
37,0.0464,0.2738,0.7628,0.7657,0.7628,0.7583
38,0.0456,0.2716,0.7627,0.7671,0.7627,0.7582
