patient_id,phase,x_min,x_max,y_min,y_max
BraTS-MEN-RT-0011-1,test,122,385,74,397
BraTS-MEN-RT-0020-1,test,62,198,27,200
BraTS-MEN-RT-0022-1,test,115,376,74,407
BraTS-MEN-RT-0041-1,test,56,196,39,210
BraTS-MEN-RT-0045-1,test,45,196,38,211
BraTS-MEN-RT-0053-1,test,61,201,39,212
BraTS-MEN-RT-0068-1,test,48,209,19,201
BraTS-MEN-RT-0075-1,test,48,202,31,212
BraTS-MEN-RT-0086-1,test,52,204,18,206
BraTS-MEN-RT-0087-1,test,169,540,98,570
BraTS-MEN-RT-0092-1,test,125,391,73,411
BraTS-MEN-RT-0109-1,test,59,198,39,203
BraTS-MEN-RT-0145-1,test,55,201,16,202
BraTS-MEN-RT-0163-1,test,59,205,28,199
BraTS-MEN-RT-0164-1,test,55,196,33,200
BraTS-MEN-RT-0165-1,test,59,198,39,207
BraTS-MEN-RT-0201-1,test,67,212,49,226
BraTS-MEN-RT-0214-1,test,24,182,21,219
BraTS-MEN-RT-0219-1,test,45,200,12,192
BraTS-MEN-RT-0233-1,test,170,540,119,563
BraTS-MEN-RT-0237-1,test,165,338,124,338
BraTS-MEN-RT-0238-1,test,173,356,131,364
BraTS-MEN-RT-0246-1,test,116,398,57,404
BraTS-MEN-RT-0256-1,test,197,558,81,541
BraTS-MEN-RT-0262-1,test,48,201,18,204
BraTS-MEN-RT-0264-1,test,168,533,119,551
BraTS-MEN-RT-0287-1,test,54,195,45,223
BraTS-MEN-RT-0288-1,test,41,200,27,212
BraTS-MEN-RT-0304-1,test,58,198,34,205
BraTS-MEN-RT-0320-1,test,155,355,157,383
BraTS-MEN-RT-0323-1,test,56,197,39,206
BraTS-MEN-RT-0327-1,test,121,387,107,414
BraTS-MEN-RT-0349-1,test,154,351,107,335
BraTS-MEN-RT-0367-1,test,118,386,97,399
BraTS-MEN-RT-0371-1,test,67,236,32,239
BraTS-MEN-RT-0385-1,test,49,193,11,203
BraTS-MEN-RT-0398-1,test,165,539,99,562
BraTS-MEN-RT-0403-1,test,47,204,28,202
BraTS-MEN-RT-0416-1,test,127,396,57,398
BraTS-MEN-RT-0501-1,test,58,196,31,204
BraTS-MEN-RT-0502-1,test,63,197,38,207
BraTS-MEN-RT-0514-1,test,56,197,29,203
BraTS-MEN-RT-0523-1,test,55,195,30,188
BraTS-MEN-RT-0529-1,test,59,197,28,195
BraTS-MEN-RT-0568-1,test,56,202,42,202
BraTS-MEN-RT-0575-1,test,153,525,97,538
BraTS-MEN-RT-0577-1,test,46,207,20,217
BraTS-MEN-RT-0581-1,test,175,548,109,585
BraTS-MEN-RT-0592-1,test,60,198,26,202
BraTS-MEN-RT-0610-1,test,55,198,23,193
BraTS-MEN-RT-0002-1,train,58,196,27,202
BraTS-MEN-RT-0003-1,train,74,243,44,252
BraTS-MEN-RT-0004-1,train,124,392,83,416
BraTS-MEN-RT-0005-1,train,62,221,43,228
BraTS-MEN-RT-0006-1,train,94,378,88,405
BraTS-MEN-RT-0007-1,train,56,188,38,205
BraTS-MEN-RT-0009-1,train,56,201,25,203
BraTS-MEN-RT-0015-1,train,154,347,113,350
BraTS-MEN-RT-0016-1,train,132,526,79,575
BraTS-MEN-RT-0017-1,train,45,207,33,212
BraTS-MEN-RT-0018-1,train,56,197,23,200
BraTS-MEN-RT-0023-1,train,55,198,37,202
BraTS-MEN-RT-0024-1,train,87,259,57,263
BraTS-MEN-RT-0026-1,train,56,197,17,192
BraTS-MEN-RT-0029-1,train,45,206,15,191
BraTS-MEN-RT-0030-1,train,61,193,37,205
BraTS-MEN-RT-0031-1,train,60,198,27,196
BraTS-MEN-RT-0033-1,train,56,203,17,210
BraTS-MEN-RT-0035-1,train,114,385,48,355
BraTS-MEN-RT-0037-1,train,54,204,22,187
BraTS-MEN-RT-0044-1,train,47,211,17,208
BraTS-MEN-RT-0046-1,train,57,202,40,215
BraTS-MEN-RT-0048-1,train,59,200,45,205
BraTS-MEN-RT-0051-1,train,59,195,37,220
BraTS-MEN-RT-0052-1,train,65,201,25,206
BraTS-MEN-RT-0054-1,train,126,421,101,437
