patient_id,phase,x_min,x_max,y_min,y_max
BraTS-MEN-RT-0011-1,test,64,192,40,198
BraTS-MEN-RT-0020-1,test,68,196,32,198
BraTS-MEN-RT-0022-1,test,60,187,40,203
BraTS-MEN-RT-0041-1,test,62,194,45,208
BraTS-MEN-RT-0045-1,test,50,193,43,209
BraTS-MEN-RT-0053-1,test,67,199,45,210
BraTS-MEN-RT-0068-1,test,50,191,22,184
BraTS-MEN-RT-0075-1,test,54,200,37,210
BraTS-MEN-RT-0086-1,test,53,187,21,188
BraTS-MEN-RT-0087-1,test,64,197,38,208
BraTS-MEN-RT-0092-1,test,66,196,40,206
BraTS-MEN-RT-0109-1,test,65,196,44,201
BraTS-MEN-RT-0145-1,test,56,184,20,185
BraTS-MEN-RT-0163-1,test,65,203,34,197
BraTS-MEN-RT-0164-1,test,60,193,38,198
BraTS-MEN-RT-0165-1,test,65,196,44,205
BraTS-MEN-RT-0201-1,test,68,194,51,207
BraTS-MEN-RT-0214-1,test,26,158,23,192
BraTS-MEN-RT-0219-1,test,47,183,16,175
BraTS-MEN-RT-0233-1,test,65,197,46,205
BraTS-MEN-RT-0237-1,test,126,247,96,247
BraTS-MEN-RT-0238-1,test,132,260,101,266
BraTS-MEN-RT-0246-1,test,57,184,29,187
BraTS-MEN-RT-0256-1,test,75,205,32,199
BraTS-MEN-RT-0262-1,test,50,184,22,186
BraTS-MEN-RT-0264-1,test,64,196,46,202
BraTS-MEN-RT-0287-1,test,60,193,51,221
BraTS-MEN-RT-0288-1,test,43,183,30,194
BraTS-MEN-RT-0304-1,test,64,196,40,203
BraTS-MEN-RT-0320-1,test,119,260,120,280
BraTS-MEN-RT-0323-1,test,62,195,45,204
BraTS-MEN-RT-0327-1,test,65,197,58,212
BraTS-MEN-RT-0349-1,test,118,257,83,245
BraTS-MEN-RT-0367-1,test,62,192,51,199
BraTS-MEN-RT-0371-1,test,60,192,30,194
BraTS-MEN-RT-0385-1,test,54,190,16,201
BraTS-MEN-RT-0398-1,test,63,197,38,205
BraTS-MEN-RT-0403-1,test,49,187,31,185
BraTS-MEN-RT-0416-1,test,66,195,30,195
BraTS-MEN-RT-0501-1,test,64,194,37,202
BraTS-MEN-RT-0502-1,test,69,195,44,205
BraTS-MEN-RT-0514-1,test,61,195,34,201
BraTS-MEN-RT-0523-1,test,61,193,36,186
BraTS-MEN-RT-0529-1,test,65,195,34,193
BraTS-MEN-RT-0568-1,test,62,200,48,200
BraTS-MEN-RT-0575-1,test,59,193,38,198
BraTS-MEN-RT-0577-1,test,48,189,23,199
BraTS-MEN-RT-0581-1,test,66,200,42,214
BraTS-MEN-RT-0592-1,test,66,196,31,200
BraTS-MEN-RT-0610-1,test,61,196,28,191
BraTS-MEN-RT-0002-1,train,63,193,32,200
BraTS-MEN-RT-0003-1,train,64,193,40,200
BraTS-MEN-RT-0004-1,train,66,196,45,208
BraTS-MEN-RT-0006-1,train,50,188,47,202
BraTS-MEN-RT-0007-1,train,61,185,43,203
BraTS-MEN-RT-0009-1,train,62,199,30,201
BraTS-MEN-RT-0015-1,train,118,254,88,256
BraTS-MEN-RT-0016-1,train,51,193,31,211
BraTS-MEN-RT-0017-1,train,47,189,36,194
BraTS-MEN-RT-0018-1,train,61,195,28,198
BraTS-MEN-RT-0023-1,train,61,196,43,200
BraTS-MEN-RT-0024-1,train,73,203,49,207
BraTS-MEN-RT-0026-1,train,62,195,22,190
BraTS-MEN-RT-0029-1,train,47,188,19,174
BraTS-MEN-RT-0030-1,train,67,191,43,203
BraTS-MEN-RT-0031-1,train,66,196,32,194
BraTS-MEN-RT-0033-1,train,61,201,22,208
BraTS-MEN-RT-0035-1,train,60,192,26,177
BraTS-MEN-RT-0037-1,train,60,202,27,185
BraTS-MEN-RT-0044-1,train,49,193,21,190
