patient_id,phase,x_min,x_max,y_min,y_max
BraTS-MEN-RT-0011-1,test,59,197,35,203
BraTS-MEN-RT-0020-1,test,63,201,27,203
BraTS-MEN-RT-0022-1,test,55,192,35,208
BraTS-MEN-RT-0041-1,test,57,199,40,213
BraTS-MEN-RT-0045-1,test,45,198,38,214
BraTS-MEN-RT-0053-1,test,62,204,40,215
BraTS-MEN-RT-0068-1,test,45,196,17,189
BraTS-MEN-RT-0075-1,test,49,205,32,215
BraTS-MEN-RT-0086-1,test,48,192,16,193
BraTS-MEN-RT-0087-1,test,59,202,33,213
BraTS-MEN-RT-0092-1,test,61,201,35,211
BraTS-MEN-RT-0109-1,test,60,201,39,206
BraTS-MEN-RT-0145-1,test,51,189,15,190
BraTS-MEN-RT-0163-1,test,60,208,29,202
BraTS-MEN-RT-0164-1,test,55,198,33,203
BraTS-MEN-RT-0165-1,test,60,201,39,210
BraTS-MEN-RT-0201-1,test,63,199,46,212
BraTS-MEN-RT-0214-1,test,21,163,18,197
BraTS-MEN-RT-0219-1,test,42,188,11,180
BraTS-MEN-RT-0233-1,test,60,202,41,210
BraTS-MEN-RT-0237-1,test,121,252,91,252
BraTS-MEN-RT-0238-1,test,127,265,96,271
BraTS-MEN-RT-0246-1,test,52,189,24,192
BraTS-MEN-RT-0256-1,test,70,210,27,204
BraTS-MEN-RT-0262-1,test,45,189,17,191
BraTS-MEN-RT-0264-1,test,59,201,41,207
BraTS-MEN-RT-0287-1,test,55,198,46,226
BraTS-MEN-RT-0288-1,test,38,188,25,199
BraTS-MEN-RT-0304-1,test,59,201,35,208
BraTS-MEN-RT-0320-1,test,114,265,115,285
BraTS-MEN-RT-0323-1,test,57,200,40,209
BraTS-MEN-RT-0327-1,test,60,202,53,217
BraTS-MEN-RT-0349-1,test,113,262,78,250
BraTS-MEN-RT-0367-1,test,57,197,46,204
BraTS-MEN-RT-0371-1,test,55,197,25,199
BraTS-MEN-RT-0385-1,test,49,195,11,206
BraTS-MEN-RT-0398-1,test,58,202,33,210
BraTS-MEN-RT-0403-1,test,44,192,26,190
BraTS-MEN-RT-0416-1,test,61,200,25,200
BraTS-MEN-RT-0501-1,test,59,199,32,207
BraTS-MEN-RT-0502-1,test,64,200,39,210
BraTS-MEN-RT-0514-1,test,56,200,29,206
BraTS-MEN-RT-0523-1,test,56,198,31,191
BraTS-MEN-RT-0529-1,test,60,200,29,198
BraTS-MEN-RT-0568-1,test,57,205,43,205
BraTS-MEN-RT-0575-1,test,54,198,33,203
BraTS-MEN-RT-0577-1,test,43,194,18,204
BraTS-MEN-RT-0581-1,test,61,205,37,219
BraTS-MEN-RT-0592-1,test,61,201,26,205
BraTS-MEN-RT-0610-1,test,56,201,23,196
BraTS-MEN-RT-0002-1,train,58,198,27,205
BraTS-MEN-RT-0003-1,train,59,198,35,205
BraTS-MEN-RT-0004-1,train,61,201,40,213
BraTS-MEN-RT-0006-1,train,45,193,42,207
BraTS-MEN-RT-0007-1,train,56,190,38,208
BraTS-MEN-RT-0009-1,train,57,204,25,206
BraTS-MEN-RT-0015-1,train,113,259,83,261
BraTS-MEN-RT-0016-1,train,46,198,26,216
BraTS-MEN-RT-0017-1,train,42,194,31,199
BraTS-MEN-RT-0018-1,train,56,200,23,203
BraTS-MEN-RT-0023-1,train,56,201,38,205
BraTS-MEN-RT-0024-1,train,68,208,44,212
BraTS-MEN-RT-0026-1,train,57,200,17,195
BraTS-MEN-RT-0029-1,train,42,193,14,179
BraTS-MEN-RT-0030-1,train,62,196,38,208
BraTS-MEN-RT-0031-1,train,61,201,27,199
BraTS-MEN-RT-0033-1,train,56,206,17,213
BraTS-MEN-RT-0035-1,train,55,197,21,182
BraTS-MEN-RT-0037-1,train,55,207,22,190
BraTS-MEN-RT-0044-1,train,44,198,16,195
BraTS-MEN-RT-0046-1,train,58,205,41,218
BraTS-MEN-RT-0048-1,train,60,203,46,208
BraTS-MEN-RT-0051-1,train,60,198,38,223
BraTS-MEN-RT-0052-1,train,66,204,25,209
BraTS-MEN-RT-0054-1,train,61,215,48,223
BraTS-MEN-RT-0055-1,train,58,204,22,215
BraTS-MEN-RT-0056-1,train,60,200,38,211
BraTS-MEN-RT-0057-1,train,113,256,106,286
BraTS-MEN-RT-0058-1,train,50,193,10,185
BraTS-MEN-RT-0059-1,train,56,194,29,207
BraTS-MEN-RT-0060-1,train,57,207,48,212
BraTS-MEN-RT-0062-1,train,50,183,12,191
BraTS-MEN-RT-0063-1,train,55,198,25,203
BraTS-MEN-RT-0064-1,train,54,200,27,198
BraTS-MEN-RT-0065-1,train,55,201,21,211
BraTS-MEN-RT-0066-1,train,56,202,50,219
BraTS-MEN-RT-0067-1,train,51,199,39,205
BraTS-MEN-RT-0069-1,train,62,199,30,209
BraTS-MEN-RT-0070-1,train,61,198,35,206
BraTS-MEN-RT-0071-1,train,68,209,31,188
BraTS-MEN-RT-0072-1,train,58,200,25,207
BraTS-MEN-RT-0073-1,train,54,203,24,210
BraTS-MEN-RT-0074-1,train,55,196,37,212
BraTS-MEN-RT-0076-1,train,58,192,38,199
BraTS-MEN-RT-0077-1,train,117,262,83,259
