BraTS-MEN-RT-0011-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0020-1 shapes → img: (260, 260, 176), bet: (260, 260, 176), gtv: (260, 260, 176)
BraTS-MEN-RT-0022-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0041-1 shapes → img: (260, 260, 170), bet: (260, 260, 170), gtv: (260, 260, 170)
BraTS-MEN-RT-0045-1 shapes → img: (259, 259, 187), bet: (259, 259, 187), gtv: (259, 259, 187)
BraTS-MEN-RT-0053-1 shapes → img: (260, 260, 176), bet: (260, 260, 176), gtv: (260, 260, 176)
BraTS-MEN-RT-0068-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0075-1 shapes → img: (260, 260, 160), bet: (260, 260, 160), gtv: (260, 260, 160)
BraTS-MEN-RT-0086-1 shapes → img: (240, 239, 187), bet: (240, 239, 187), gtv: (240, 239, 187)
BraTS-MEN-RT-0087-1 shapes → img: (260, 260, 236), bet: (260, 260, 236), gtv: (260, 260, 236)
BraTS-MEN-RT-0092-1 shapes → img: (260, 260, 191), bet: (260, 260, 191), gtv: (260, 260, 191)
BraTS-MEN-RT-0109-1 shapes → img: (259, 259, 173), bet: (259, 259, 173), gtv: (259, 259, 173)
BraTS-MEN-RT-0145-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0163-1 shapes → img: (260, 260, 170), bet: (260, 260, 170), gtv: (260, 260, 170)
BraTS-MEN-RT-0164-1 shapes → img: (259, 259, 173), bet: (259, 259, 173), gtv: (259, 259, 173)
BraTS-MEN-RT-0165-1 shapes → img: (260, 259, 176), bet: (260, 259, 176), gtv: (260, 259, 176)
BraTS-MEN-RT-0201-1 shapes → img: (270, 270, 168), bet: (270, 270, 168), gtv: (270, 270, 168)
BraTS-MEN-RT-0214-1 shapes → img: (186, 229, 158), bet: (186, 229, 158), gtv: (186, 229, 158)
BraTS-MEN-RT-0219-1 shapes → img: (240, 240, 192), bet: (240, 240, 192), gtv: (240, 240, 192)
BraTS-MEN-RT-0233-1 shapes → img: (260, 260, 194), bet: (260, 260, 194), gtv: (260, 260, 194)
BraTS-MEN-RT-0237-1 shapes → img: (380, 380, 314), bet: (380, 380, 314), gtv: (380, 380, 314)
BraTS-MEN-RT-0238-1 shapes → img: (380, 380, 319), bet: (380, 380, 319), gtv: (380, 380, 319)
BraTS-MEN-RT-0246-1 shapes → img: (240, 240, 240), bet: (240, 240, 240), gtv: (240, 240, 240)
BraTS-MEN-RT-0256-1 shapes → img: (250, 250, 209), bet: (250, 250, 209), gtv: (250, 250, 209)
BraTS-MEN-RT-0262-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0264-1 shapes → img: (250, 250, 184), bet: (250, 250, 184), gtv: (250, 250, 184)
BraTS-MEN-RT-0287-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0288-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0304-1 shapes → img: (260, 260, 185), bet: (260, 260, 185), gtv: (260, 260, 185)
BraTS-MEN-RT-0320-1 shapes → img: (380, 380, 296), bet: (380, 380, 296), gtv: (380, 380, 296)
BraTS-MEN-RT-0323-1 shapes → img: (260, 260, 150), bet: (260, 260, 150), gtv: (260, 260, 150)
BraTS-MEN-RT-0327-1 shapes → img: (265, 265, 192), bet: (265, 265, 192), gtv: (265, 265, 192)
BraTS-MEN-RT-0349-1 shapes → img: (380, 380, 322), bet: (380, 380, 322), gtv: (380, 380, 322)
BraTS-MEN-RT-0367-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0371-1 shapes → img: (239, 239, 190), bet: (239, 239, 190), gtv: (239, 239, 190)
BraTS-MEN-RT-0385-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0398-1 shapes → img: (260, 260, 239), bet: (260, 260, 239), gtv: (260, 260, 239)
BraTS-MEN-RT-0403-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0416-1 shapes → img: (255, 255, 257), bet: (255, 255, 257), gtv: (255, 255, 257)
BraTS-MEN-RT-0501-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0502-1 shapes → img: (260, 260, 159), bet: (260, 260, 159), gtv: (260, 260, 159)
BraTS-MEN-RT-0514-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0523-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0529-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0568-1 shapes → img: (260, 260, 192), bet: (260, 260, 192), gtv: (260, 260, 192)
BraTS-MEN-RT-0575-1 shapes → img: (250, 250, 186), bet: (250, 250, 186), gtv: (250, 250, 186)
BraTS-MEN-RT-0577-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0581-1 shapes → img: (260, 260, 184), bet: (260, 260, 184), gtv: (260, 260, 184)
BraTS-MEN-RT-0592-1 shapes → img: (259, 259, 183), bet: (259, 259, 183), gtv: (259, 259, 183)
BraTS-MEN-RT-0610-1 shapes → img: (260, 260, 180), bet: (260, 260, 180), gtv: (260, 260, 180)
BraTS-MEN-RT-0002-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0003-1 shapes → img: (260, 260, 205), bet: (260, 260, 205), gtv: (260, 260, 205)
BraTS-MEN-RT-0004-1 shapes → img: (260, 260, 184), bet: (260, 260, 184), gtv: (260, 260, 184)
BraTS-MEN-RT-0005-1 shapes → img: (260, 260, 202), bet: (260, 260, 202), gtv: (260, 260, 202)
BraTS-MEN-RT-0006-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0007-1 shapes → img: (259, 259, 187), bet: (259, 259, 187), gtv: (259, 259, 187)
BraTS-MEN-RT-0009-1 shapes → img: (260, 260, 182), bet: (260, 260, 182), gtv: (260, 260, 182)
BraTS-MEN-RT-0015-1 shapes → img: (380, 380, 283), bet: (380, 380, 283), gtv: (380, 380, 283)
BraTS-MEN-RT-0016-1 shapes → img: (250, 250, 186), bet: (250, 250, 186), gtv: (250, 250, 186)
BraTS-MEN-RT-0017-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0018-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0023-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0024-1 shapes → img: (269, 269, 164), bet: (269, 269, 164), gtv: (269, 269, 164)
BraTS-MEN-RT-0026-1 shapes → img: (260, 260, 208), bet: (260, 260, 208), gtv: (260, 260, 208)
BraTS-MEN-RT-0029-1 shapes → img: (240, 240, 176), bet: (240, 240, 176), gtv: (240, 240, 176)
BraTS-MEN-RT-0030-1 shapes → img: (260, 260, 164), bet: (260, 260, 164), gtv: (260, 260, 164)
BraTS-MEN-RT-0031-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0033-1 shapes → img: (259, 259, 195), bet: (259, 259, 195), gtv: (259, 259, 195)
BraTS-MEN-RT-0035-1 shapes → img: (259, 259, 180), bet: (259, 259, 180), gtv: (259, 259, 180)
BraTS-MEN-RT-0037-1 shapes → img: (260, 260, 180), bet: (260, 260, 180), gtv: (260, 260, 180)
BraTS-MEN-RT-0044-1 shapes → img: (240, 240, 180), bet: (240, 240, 180), gtv: (240, 240, 180)
BraTS-MEN-RT-0046-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0048-1 shapes → img: (260, 260, 158), bet: (260, 260, 158), gtv: (260, 260, 158)
BraTS-MEN-RT-0051-1 shapes → img: (260, 260, 150), bet: (260, 260, 150), gtv: (260, 260, 150)
BraTS-MEN-RT-0052-1 shapes → img: (259, 259, 173), bet: (259, 259, 173), gtv: (259, 259, 173)
BraTS-MEN-RT-0054-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0055-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0056-1 shapes → img: (260, 260, 170), bet: (260, 260, 170), gtv: (260, 260, 170)
BraTS-MEN-RT-0057-1 shapes → img: (380, 380, 326), bet: (380, 380, 326), gtv: (380, 380, 326)
BraTS-MEN-RT-0058-1 shapes → img: (240, 240, 172), bet: (240, 240, 172), gtv: (240, 240, 172)
BraTS-MEN-RT-0059-1 shapes → img: (250, 250, 215), bet: (250, 250, 215), gtv: (250, 250, 215)
BraTS-MEN-RT-0060-1 shapes → img: (260, 260, 174), bet: (260, 260, 174), gtv: (260, 260, 174)
BraTS-MEN-RT-0062-1 shapes → img: (240, 240, 160), bet: (240, 240, 160), gtv: (240, 240, 160)
BraTS-MEN-RT-0063-1 shapes → img: (260, 260, 186), bet: (260, 260, 186), gtv: (260, 260, 186)
BraTS-MEN-RT-0064-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0065-1 shapes → img: (259, 259, 192), bet: (259, 259, 192), gtv: (259, 259, 192)
BraTS-MEN-RT-0066-1 shapes → img: (259, 259, 192), bet: (259, 259, 192), gtv: (259, 259, 192)
BraTS-MEN-RT-0067-1 shapes → img: (254, 254, 224), bet: (254, 254, 224), gtv: (254, 254, 224)
BraTS-MEN-RT-0069-1 shapes → img: (250, 250, 186), bet: (250, 250, 186), gtv: (250, 250, 186)
BraTS-MEN-RT-0070-1 shapes → img: (259, 259, 186), bet: (259, 259, 186), gtv: (259, 259, 186)
BraTS-MEN-RT-0071-1 shapes → img: (259, 259, 190), bet: (259, 259, 190), gtv: (259, 259, 190)
BraTS-MEN-RT-0072-1 shapes → img: (250, 250, 184), bet: (250, 250, 184), gtv: (250, 250, 184)
BraTS-MEN-RT-0073-1 shapes → img: (259, 259, 192), bet: (259, 259, 192), gtv: (259, 259, 192)
