,model,region,score_id_flat
0,lg2unetr,FrontalMNI,0.6542489862442017
1,lg2unetr,TemporalMNI,0.6155477653850209
2,lg2unetr,ParietalMNI,0.7778242996760777
3,lg2unetr,CerebellumMNI,0.742674720287323
4,lg2unetr,ThalamusMNI,0.9225077629089355
5,unet1s,FrontalMNI,0.7352105545997619
6,unet1s,TemporalMNI,0.6966836560856212
7,unet1s,ParietalMNI,0.8183616399765015
8,unet1s,CerebellumMNI,0.7449751496315002
9,unet1s,ThalamusMNI,0.9393715262413025
10,swinunetr,FrontalMNI,0.7129207372665405
11,swinunetr,TemporalMNI,0.6505480462854559
12,swinunetr,ParietalMNI,0.8030044266155788
13,swinunetr,CerebellumMNI,0.7542780756950378
14,swinunetr,ThalamusMNI,0.9457554817199707
15,unetpp0,FrontalMNI,0.7581873321533203
16,unetpp0,TemporalMNI,0.6981621926481073
17,unetpp0,ParietalMNI,0.7761190959385463
18,unetpp0,CerebellumMNI,0.7668261647224426
19,unetpp0,ThalamusMNI,0.947157621383667
20,unetpp0D,FrontalMNI,0.7752873754501343
21,unetpp0D,TemporalMNI,0.7019565647298639
22,unetpp0D,ParietalMNI,0.8440740363938468
23,unetpp0D,CerebellumMNI,0.7596502661705017
24,unetpp0D,ThalamusMNI,0.9426621198654175
