,model,prob,score_id_flat
0,unetpp0D,10,0.767021347284317
1,unetpp0D,30,0.7675652706623077
2,unetpp0D,50,0.7675537407398224
3,unetpp0D,70,0.7674201607704163
4,unetpp0D,90,0.7670466458797455
5,unetpp0,10,0.7489145767688751
6,unetpp0,30,0.749844251871109
7,unetpp0,50,0.7500955629348754
8,unetpp0,70,0.7503649652004242
9,unetpp0,90,0.7503575956821442
10,unet1s,10,0.7380592155456543
11,unet1s,30,0.7399189174175262
12,unet1s,50,0.7409963691234589
13,unet1s,70,0.7416381537914276
14,unet1s,90,0.7423420023918151
15,swinunetr,10,0.7185643458366394
16,swinunetr,30,0.7197158503532409
17,swinunetr,50,0.719929381608963
18,swinunetr,70,0.7205072343349457
19,swinunetr,90,0.7204663121700287
20,lg2unetr,10,0.6710969853401184
21,lg2unetr,30,0.6735856997966766
22,lg2unetr,50,0.675002760887146
23,lg2unetr,70,0.6762607860565185
24,lg2unetr,90,0.677973165512085
